iter,train_nll,val_nll,lr
0,4.156921,4.164663,3.000000e-06
100,3.301930,3.224441,3.000000e-04
200,2.768516,2.744389,2.981588e-04
300,2.605815,2.585586,2.926853e-04
400,2.522586,2.493444,2.837290e-04
500,2.458696,2.464368,2.715340e-04
600,2.414225,2.425780,2.564330e-04
700,2.390395,2.390215,2.388380e-04
800,2.358802,2.369893,2.192289e-04
900,2.357237,2.350280,1.981405e-04
1000,2.323914,2.331143,1.761482e-04
1100,2.287809,2.305572,1.538518e-04
1200,2.286121,2.299288,1.318595e-04
1300,2.258287,2.271591,1.107711e-04
1400,2.242982,2.245322,9.116200e-05
1500,2.212346,2.259318,7.356699e-05
1600,2.213256,2.226331,5.846603e-05
1700,2.200253,2.221922,4.627104e-05
1800,2.194806,2.208635,3.731467e-05
1900,2.203830,2.217419,3.184122e-05
1999,2.187567,2.197272,3.000018e-05
